Fecha,IPeCo,Índice Coyuntural,Índice Expectativas,Situación Enconómica Actual,Desempleo Actual,Situación Económica Futura,Desempleo Futuro,Ingreso Futuro,IPeCo (m3)
01-09-2017,111.98,123.8,107.95,111.48,152.73,97.74,136.06,100.05,109.05
01-10-2017,109.24,113.56,107.93,92.39,160.63,97.91,128.5,104.68,109.37
01-01-2018,116.15,145.22,105.85,128.06,184.78,96.38,137.77,94.78,110.01
01-02-2018,115.45,133.97,108.99,106.1,195.53,102.2,139.78,95.99,111.47
01-03-2018,112.01,130.1,105.7,114.81,165.37,100.78,120.36,101.17,114.54
01-04-2018,116.02,152.76,102.93,123.73,217.22,93.3,109.94,107.98,114.5
01-05-2018,120.47,141.22,113.21,131.91,164.34,112.93,124.64,106.17,116.17
01-06-2018,100.92,107.18,98.89,96.52,132.21,95.64,103.41,99.21,112.47
01-07-2018,106.7,119.71,102.23,135.89,89.23,92.77,104.88,109.9,109.37
01-08-2018,109.03,103.6,111.26,112.66,87.51,108.89,122.61,106.33,105.55
01-09-2018,93.56,95.69,93,79.49,131.94,81.16,102.19,98.85,103.1
01-10-2018,99.59,109.64,96.17,105.51,121.13,87.62,108.34,96.86,100.73
01-11-2018,93.52,111.66,87.15,91.72,156.11,82.25,97.4,85.44,95.56
01-12-2018,84.74,97.69,80.23,89.12,118.12,85.16,81.76,74.38,92.62
01-01-2019,92.83,111.89,86.11,94.94,150.14,91.16,108.29,66.9,90.37
01-02-2019,87.33,102.1,82.16,88.32,133.5,83.33,95.86,72.22,88.3
01-03-2019,93.03,123.8,82.06,107.54,160.91,86.09,105.46,63.06,91.06
01-04-2019,93.27,124.59,82.1,107.5,163.44,77.38,105.41,71.85,91.21
01-05-2019,98.31,149.68,79.86,119.82,215.79,79.28,98.89,68.23,94.87
01-06-2019,94.05,134.55,79.54,110.51,188.14,75.4,109.05,64.72,95.21
01-07-2019,98.49,138.84,84.04,113.29,195.7,76.18,106.42,77.49,96.95
01-08-2019,96.99,129.71,85.32,107.85,178.64,76.86,116.61,73.66,96.51
01-09-2019,98.09,145.03,81.24,117.83,205.45,82,103.55,66.2,97.86
01-10-2019,65.73,82.97,59.62,71.76,108.48,57.76,79.55,48.69,86.94
