Fecha,EPU
01-07-2020,240.9942169
01-08-2020,250.5248413
01-09-2020,257.8449707
01-10-2020,299.6727905
01-11-2020,224.5767975
01-12-2020,215.7925415
01-01-2021,208.0988922
01-02-2021,187.6252594
01-03-2021,197.8923645
01-04-2021,251.9913483
01-05-2021,371.9423828
01-06-2021,339.9244995
01-07-2021,313.0615845
01-08-2021,215.0234375
01-09-2021,284.3220825
01-10-2021,439.0316467
01-11-2021,454.5794067
